Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,0.0,45.95936099137932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,4.0,9.449,0.0,0.0,4.0,9.449,40.17025,0.6589886866525965,0.5374104107185064,0.0
1,61.99891421374534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7461019500477661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.81825,0.5716503855364878,0.541928749623203,0.0
2,61.176320043103445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.84775,0.6875041261058883,0.411616969434527,0.0
3,54.48325323275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.12325,0.7389998927458941,0.43651507026976416,0.0
4,42.46881007160657,11.41719100597963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75375,0.39157640030617547,0.4307944585536028,0.008007622160826747
5,0.0,99.47449323112126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,0.0,45.107619308707456,0.0,0.0,0.0,37.05125,0.5266101752493136,0.45633335870747177,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.732719053361505,5.112,0.41,0.0,45.107619308707456,0.0,0.0,0.0,45.107619308707456,0.0,36.7255,0.44975237249822325,0.4490860980963957,0.015145168068320211
7,57.692981615706,2.6319106256733065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.321,0.5319482704110975,0.3810683287644388,0.0
8,60.054970245819135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3419855731463883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.98425,0.5537265826309207,0.4967812323665175,0.012688209163908254
9,43.42428277465351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.631303432243042,5.112,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.952,0.4003861729609566,0.55963502283621,0.051072547649188345
10,0.0,26.320325987469282,0.0,0.0,0.0,0.0,0.0,0.0,42.06747034873761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.30925,0.33785570119633823,0.5278590243934033,0.07295767844443142
11,0.0,72.46107219827587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82925,0.40095166891092177,0.5672855113526785,0.0916965003743626
12,0.0,77.99596551724137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,0.0,0.0,9.449,0.0,0.0,45.824,0.30609622844699413,0.4172468526899715,0.10936078548115664
13,32.181267844705715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.513724612190842,0.0,0.0,0.0,0.0,9.449,0.0,0.0,0.0,9.449,45.25175,0.29672187656474247,0.38936475964564987,0.056033294306227985
