Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar,DA_Prices
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0741914413283,9.449,0.0,0.0,45.879422587158444,0.0,45.879422587158444,0.3820035165885959,0.5435209056724399,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.19476885416987,9.449,0.0,0.0,34.8862704014529,9.449,44.335270401452895,0.37717179184856964,0.4901899290023897,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.30849845271698,0.0,0.0,0.0,43.22683867347417,0.0,43.22683867347417,0.35637153396436483,0.5545809436476283,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.08165977924281,0.0,0.0,0.0,42.399369547332405,0.0,42.399369547332405,0.49813410241442874,0.39691763412732534,0.0035909895214559224,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68229023191041,0.0,0.0,0.0,41.97735458237811,0.0,41.97735458237811,0.46945920655631856,0.48190780141704836,0.0010933665639773933,0.0
5,0.0,42.3171365906972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.704935649532295,0.0,0.0,0.0,0.0,0.0,42.3171365906972,0.3976338580593162,0.427613715081898,0.0,0.0
6,0.0,33.132089568142774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.813,16.704935649532295,0.0,0.0,0.0,0.0,0.0,41.94508956814278,0.2924664611356355,0.2947349664551767,0.0,0.0
7,0.0,42.625224646979795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.704935649532295,0.0,0.0,0.0,0.0,0.0,42.625224646979795,0.327381807460602,0.5637643899683671,0.018047197116050268,0.0
8,0.0,26.67780300422946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.704935649532295,0.0,0.0,0.0,16.704935649532295,0.0,43.382738653761756,0.2774661881412379,0.6090106176196637,0.015133979232133905,0.0
9,0.0,45.630153937357974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.630153937357974,0.303244879714367,0.37066285753380857,0.04523950740832597,0.0
10,0.0,48.32242667386271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.32242667386271,0.5019221172863991,0.4016024616645333,0.10275829352761909,0.0
