Scenario_0,Scenario_1,Scenario_2,Scenario_3
22699.749119629534,22432.468977269808,19625.29312436954,22251.325999999997
167353.42137012735,184615.5356466826,206863.58040262785,194967.85502662414
56307.169465494764,51285.99212708039,49722.70927594165,54866.80681149636
5208.588805237412,4947.097063791987,4259.404740247705,3543.8930028635264
2297.598654181406,2551.0749603536924,1827.6875231781157,1722.458308914188
130278.8446727903,112994.51847749556,104254.67642320646,113872.72595207032
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
97349.70520999873,102536.89902105823,94976.50757369962,90224.55742217242
44780.46851594666,44780.80568633821,44780.06903908535,44780.411252906495
3590.5174079770163,3590.9928119710394,3590.679974154097,3590.48801938258
120.48777861613328,251.1662279578058,87.970540321677,166.02920356931227
