Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,33.99267211851638,84.95293141546269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,4.0,9.449,72.35689232573597,0.0,4.0,0.0,64.92371120824309,0.604274115337345,0.30500926202661416,0.0
1,0.0,137.83665307079892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,72.35689232573597,9.449,89.43306288006369,0.0,0.0,0.0,62.73859019073523,0.6268654349033287,0.4948794012503099,0.0
2,0.0,133.92531008607386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.78995520579966,9.449,87.09025535945946,0.0,0.0,0.0,61.170054726614396,0.7264002417123804,0.4808363798097711,0.0
3,0.0,46.05729468284926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,248.88021056525912,9.449,249.2733973981097,0.0,248.88021056525912,0.0,59.999107849998694,0.45600408044897955,0.4828659688662111,0.0
4,0.0,44.67373002900524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,249.2733973981097,9.449,248.88021056525912,0.0,249.2733973981097,0.0,59.401916861855824,0.6051270619896396,0.49809187700833535,0.002225431685586639
5,0.0,45.940927291384355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,248.88021056525912,9.449,249.2733973981097,0.0,248.88021056525912,0.0,59.88274045853378,0.6101440200481468,0.5476616891658836,0.0
6,0.0,150.40522207997248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,249.2733973981097,9.449,248.88021056525912,0.0,143.4962473081302,0.0,59.35625882284355,0.49707864701872473,0.540004741769411,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,354.6573606552386,9.449,143.4962473081302,0.0,189.4799614312148,0.0,60.31871412308462,0.563227768737923,0.5610376529309852,0.00946568353823801
8,0.0,111.50392706493427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,308.673646532154,9.449,189.4799614312148,0.0,125.03170227254718,0.0,61.39066790626664,0.4743072985448456,0.4003361619250108,0.002723394290998964
9,0.0,175.26767482541223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,373.1219056908217,9.449,125.03170227254716,0.0,0.0,0.0,64.57097255286506,0.3972116169476596,0.6292692113728446,0.026070884816948886
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,498.1536079633688,9.449,0.0,0.0,54.045792463013264,0.0,68.38079246301326,0.38512194737521543,0.4745617073463432,0.08689013351043402
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,444.10781550035557,9.449,54.04579246301324,0.0,112.16444362729852,0.0,72.45365116428529,0.41149696187568574,0.5927858052306295,0.09913286176869349
12,0.0,160.87597322704505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,385.9891643360703,9.449,112.16444362729851,0.0,11.01485021259046,0.0,74.06137981233701,0.3976727284686716,0.5775982188516113,0.09599955304630339
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,487.1387577507784,9.449,11.014850212590432,0.0,69.81635169484692,0.0,73.13650148225649,0.43503399357036204,0.4940749140656052,0.0917274829250023
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,428.3372562685219,9.449,69.8163516948469,0.0,128.05662294535074,0.0,72.57527125050383,0.4166551980675134,0.5611766233268932,0.04826388884300206
15,0.0,144.71523747986885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,370.0969850180181,9.449,128.05662294535074,0.0,41.65883092351976,0.0,72.65244545803786,0.5782744900593204,0.5195758057114787,0.03376901977237835
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,456.49477703984905,9.449,41.65883092351976,0.0,103.09395274455512,0.0,75.77012182103537,0.6254740182893959,0.5172043861553434,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,395.0596552188137,9.449,103.09395274455511,0.0,169.76439502118387,0.0,81.00544227662878,0.5358426812071809,0.5609816667622276,0.0017943508985780118
18,0.0,119.06253567620232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,328.38921294218494,9.449,169.76439502118387,0.0,117.49998250946769,0.0,81.13312316448612,0.6327619465994759,0.42747407931124065,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,380.6536254539011,9.449,117.49998250946771,0.0,182.55057453476718,0.0,79.38559202529947,0.621766837844642,0.4315280944067231,0.0
20,0.0,97.64031805359157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,315.60303342860163,9.449,182.55057453476718,0.0,146.6532670254619,0.0,76.07801054428629,0.5420179583089892,0.3505611973284919,0.008005048449728701
21,0.0,114.12680000747254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,351.5003409379069,9.449,146.6532670254619,0.0,91.16190253534278,0.0,72.97043551735344,0.6044267190824485,0.4097531476283147,0.0
22,0.0,101.22603355566827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,406.991705428026,9.449,91.16190253534279,0.0,46.17163110150668,0.0,70.57076212183216,0.5224393241747407,0.3634351078681668,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,451.9819768618621,9.449,46.171631101506705,0.0,98.19392392404674,0.0,66.35729282254003,0.4914930198063382,0.3918118018008187,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,399.95968403932204,9.449,98.19392392404677,0.0,145.9053705676313,0.0,62.046446643584545,0.4791102620250148,0.33403573478614224,0.0
25,0.0,88.48618228155595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,352.24823739573753,9.449,145.90537056763128,0.0,103.01016246296587,0.0,59.92597417689054,0.501724127608482,0.31769480708393105,0.011915062318518214
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,395.14344550040295,9.449,103.01016246296587,0.0,148.54254889068136,0.0,59.867386427715495,0.5431267820839449,0.3779161673957443,0.006022286439526095
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,349.61105907268745,9.449,148.54254889068136,0.0,194.58646697671136,0.0,60.37891808603001,0.4291129345203449,0.34243417327815734,0.0
28,0.0,87.87655583557466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,303.5671409866575,9.449,194.58646697671134,0.0,156.07353231145746,0.0,63.698621170320784,0.48194100787247907,0.31550604550381184,0.0
29,0.0,106.84946561365103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,342.08007565191133,9.449,156.07353231145748,0.0,103.50380610407731,0.0,68.61473940627086,0.647932146856037,0.38362509817790597,0.0001764777456778177
30,0.0,122.00888597314348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,394.64980185929153,9.449,103.50380610407728,0.0,44.29533853446897,0.0,77.13541840353518,0.6703833224310983,0.4380524562403074,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,453.85826942889986,9.449,44.295338534468954,0.0,114.91621131926604,0.0,84.9558727847971,0.6387617150672262,0.4926315023567594,0.0
32,0.0,147.40221089763793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,383.2373966441028,9.449,114.91621131926604,0.0,43.763741715097865,0.0,90.58474129346978,0.6919126339592437,0.5292229334277767,0.0
