Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,0.0,27.544422587158444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,4.0,9.449,0.0,0.0,4.0,0.0,45.879422587158444,0.463922335992411,0.48542856456222555,0.0
1,0.0,95.32454539306464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,0.0,9.449,74.4491653484572,0.0,0.0,9.124890356845452,44.335270401452895,0.5003005790021875,0.6788807302782937,0.0
2,0.0,69.45111928075013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,74.4491653484572,0.32410964315454827,31.758499893585068,9.124890356845452,0.0,0.32410964315454827,43.22683867347417,0.39448706450065507,0.49461580311287656,0.0
3,14.682375661033477,60.29516423269065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,106.20766524204227,9.124890356845452,55.71395106008263,0.32410964315454827,0.0,9.124890356845452,42.399369547332405,0.36016068547493807,0.4294090777748077,0.0
4,18.04923742434548,18.393897871723535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,0.32410964315454827,0.0,9.124890356845452,0.0,0.32410964315454827,41.97735458237811,0.44275026556530717,0.36793827069204355,0.0
5,19.181355877006293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.124890356845452,0.0,0.32410964315454827,0.0,9.124890356845452,42.3171365906972,0.47052128623407297,0.5031456971287285,0.0
6,0.0,32.521387307689004,0.0,0.0,0.0,0.0,0.0,0.0,4.21359261729922,5.112,0.41,8.813,161.9216163021249,0.32410964315454827,0.0,9.124890356845452,0.0,0.0,41.94508956814278,0.4973319665891485,0.40193210293297554,0.02000113552923209
7,0.0,28.290224646979794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,42.625224646979795,0.4128907770731607,0.3960122829684277,0.0
8,0.0,19.598738653761757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,9.449,43.382738653761756,0.40469013545948757,0.31163092336953935,0.0
9,18.26131292349055,22.48284101386742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,0.0,0.0,9.449,0.0,0.0,45.630153937357974,0.4479525065995862,0.45808783174658657,0.05222157586336895
10,0.0,33.98742667386271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,48.32242667386271,0.3012523777493127,0.43291721519280585,0.11436390425995348
11,0.0,36.865580156094936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,51.20058015609494,0.31924987078081646,0.5314799941051973,0.1421083471610015
12,0.0,38.00170840071815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,52.33670840071815,0.41739933486103237,0.45701584669899503,0.13472997026063374
13,0.0,37.34812771412792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,51.68312771412792,0.5892413554593238,0.3805271588718888,0.1320476972684892
14,0.0,32.80327048588519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,4.148254531137509,51.286525017022704,0.9787332225004872,0.2701982361707522,0.08147642319448639
15,0.0,35.85357051928843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,5.300745468862491,0.0,4.148254531137509,0.0,5.300745468862491,51.34106145701342,0.8742512595154633,0.41850455950759735,0.0
16,0.0,44.268930626626386,0.0,0.0,0.0,0.0,0.0,0.0,0.24103426243443066,5.112,0.41,8.813,161.9216163021249,4.148254531137509,0.0,5.300745468862491,0.0,0.0,53.544219420198324,0.9188092874081457,0.31527371915093105,0.0011441445312835262
17,0.0,41.9489746322645,0.0,0.0,0.0,0.0,0.0,0.0,0.9598712432198391,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,57.24384587548434,0.8914068733457678,0.3337736652260706,0.0045563291399912656
18,0.0,42.99907370290352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,0.0,0.0,0.0,0.0,57.334073702903524,0.6726635502265439,0.35561086298692346,0.0
19,0.0,60.598642090454256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.9216163021249,9.449,18.834490392575965,0.0,0.0,0.0,56.09915169787829,0.564054061352506,0.4315703812339778,0.0
20,0.0,37.94818198313553,0.0,0.0,0.0,0.0,0.0,0.0,1.4786121348267791,5.112,0.41,8.813,180.75610669470086,9.449,0.0,0.0,0.0,0.0,53.76179411796231,0.7119320827473077,0.40678073228326384,0.007018695063784679
21,0.0,37.2307744322631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,180.75610669470086,9.449,0.0,0.0,0.0,0.0,51.5657744322631,0.6533634826849537,0.37592333114835585,0.0
22,0.0,55.553707518241424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,180.75610669470086,9.449,29.467702285480037,0.0,0.0,9.449,49.870005232761386,0.6577433513575228,0.39564145178073296,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,210.2238089801809,0.0,0.0,9.449,42.00648692792828,0.0,46.89248692792828,0.5673086736046592,0.3049332697768946,0.0
24,0.0,55.345462680741704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,168.21732205225263,9.449,25.83430705260863,0.0,0.0,0.0,43.846155628133076,0.3449036741452185,0.3941583772297288,0.0
25,0.0,16.046075583041297,0.0,0.0,0.0,0.0,0.0,0.0,2.517612835294682,5.112,0.41,8.813,194.05162910486126,9.449,0.0,0.0,0.0,9.449,42.34768841833598,0.23220437252516019,0.43549986623231046,0.011950636927292523
26,4.385221255260427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,194.05162910486126,0.0,0.0,9.449,33.035065153658515,0.0,42.30628640891894,0.10757007787544187,0.2962589410676726,0.0
27,2.9545849530364343,22.140762475778573,0.0,0.0,0.0,0.0,0.0,0.0,3.2374213519795303,5.112,0.41,8.813,161.01656395120276,9.449,0.0,0.0,0.0,0.0,42.66776878079454,0.07247637347978311,0.3609615293170215,0.015367433235080144
28,2.474535481895257,28.204156811798097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.01656395120276,9.449,0.0,0.0,0.0,0.0,45.01369229369335,0.06070069421781292,0.35773248824875503,0.0
29,4.828165228617705,59.94067774820855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,161.01656395120276,9.449,30.616093796394857,0.0,0.0,0.0,48.4877491804314,0.11843555419578558,0.42688450194319294,0.0
30,2.3982018730005987,31.753124471762252,0.0,0.0,0.0,0.0,0.0,0.0,6.022702660402008,5.112,0.41,8.813,191.63265774759762,9.449,0.0,0.0,0.0,0.0,54.50902900516486,0.05882822033899508,0.4489503032994812,0.02858864230690125
31,8.075028702983543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9554162560971643,5.112,0.41,8.813,191.63265774759762,9.449,0.0,0.0,27.221038475509232,9.449,60.03548343458994,0.1980815598265138,0.3697789163277846,0.004535182149924932
32,6.185236616837119,83.61468425247091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,164.4116192720884,0.0,30.67270368858939,9.449,0.0,0.0,64.01321718071864,0.15172470117740738,0.5954856398553179,0.0
33,3.6343930573409082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,195.08432296067778,9.449,0.0,0.0,48.19558648866564,0.0,66.16497954600655,0.08915215936690729,0.5208297282323249,0.04594075082394985
34,8.339363941358071,45.29288790423676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,146.88873647201214,9.449,0.0,0.0,0.0,0.0,67.96725184559483,0.20456573942020295,0.49271726758805456,0.08491136589734875
35,0.0,73.26606115030833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,146.88873647201214,9.449,18.011992659963603,0.0,0.0,0.0,69.58906849034473,0.36005783830392896,0.5217849914021642,0.12276121278796008
36,15.816452238026024,75.93355902361611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,164.90072913197574,9.449,45.55633494497617,0.0,0.0,9.449,69.97767631666596,0.3879797392016942,0.5407823325043933,0.12038853378961403
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,210.4570640769519,0.0,0.0,9.449,64.33473337208287,0.0,69.22073337208286,0.6010909790258592,0.3519597130698585,0.07538706556176042
38,0.0,57.72141551713672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,146.12233070486903,9.449,3.8658783517893553,0.0,0.0,0.0,68.19053716534737,0.8016517859376713,0.41107939783389297,0.049340661946482456
39,0.0,41.463638653907424,0.0,0.0,0.0,0.0,0.0,0.0,8.260978966398335,5.112,0.41,8.813,149.98820905665838,9.449,0.0,0.0,0.0,4.54436857701306,68.60398619731882,0.726629580493751,0.36656884092588804,0.03921332101084212
40,0.0,53.91499043309363,0.0,0.0,0.0,0.0,0.0,0.0,1.5470220991385437,5.112,0.41,8.813,149.98820905665838,4.90463142298694,0.0,4.54436857701306,0.0,4.90463142298694,70.15727537820605,0.8428087719620878,0.46217944265734967,0.007343424360616075
41,0.0,57.435668705377594,0.0,0.0,0.0,0.0,0.0,0.0,0.9737265632397605,5.112,0.41,8.813,149.98820905665838,4.54436857701306,0.0,4.90463142298694,0.0,4.54436857701306,72.38413242264348,0.8240500068356927,0.409044371037365,0.004622097750934237
42,0.0,72.27066889629586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,149.98820905665838,4.90463142298694,14.929861729828751,4.54436857701306,0.0,4.90463142298694,72.03607001244099,0.6728048092394383,0.5146960237335441,0.0
43,0.0,45.27724274981471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,164.91807078648714,4.54436857701306,0.0,4.90463142298694,13.40803729668162,1.7992108512824583,69.91485947479185,0.7402438050805092,0.32245469932467286,0.0
44,0.0,46.16442540100068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,151.51003348980552,7.649789148717542,0.0,1.7992108512824583,0.0,7.649789148717542,66.35000369843576,0.5611494728898567,0.33536137142900874,0.0
45,0.0,52.936619270253686,0.0,0.0,0.0,0.0,0.0,0.0,1.141963753906228,5.112,0.41,8.813,151.51003348980552,1.7992108512824583,0.0,7.649789148717542,0.0,1.7992108512824583,62.563004726724834,0.7156452899890332,0.37700311709295037,0.0054206882073922925
46,0.0,49.225920657715236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,151.51003348980552,7.649789148717542,2.3641028479645385,1.7992108512824583,0.0,0.0,59.39760695846824,0.8907856588893713,0.3505763266631055,0.0
