Scenario_0,Scenario_1,Scenario_2,Scenario_3
103345.3141113586,95312.75492775082,85506.26996618949,101980.61565844552
243786.63773789158,268458.8563937909,305523.3018138236,285387.5131126691
45557.08255922094,39638.362504677076,37825.07467482159,42279.6784442571
2396.310932881441,2336.716588860092,1606.6803236457974,1723.2517406752409
1126.4235091949643,1421.8889127811717,751.8046170020384,1016.7896104442787
146349.88326617584,126952.20619174803,118886.12329970275,121770.00937157682
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
158938.43404298805,167368.60060106515,151298.05773669234,147131.18524535996
44781.012929385855,44781.12,44776.008,44781.050082232825
3591.518618989043,3591.589273669828,3591.123933573557,3591.600000000001
162.00778719465433,172.53010084814844,231.55563432773732,372.93222960377864
