Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,0.0,79.85586682087077,0.0,0.0,0.0,0.0,0.0,0.0,0.7881472644460558,5.112,0.41,8.813,4.0,9.449,53.09959149815838,0.0,4.0,0.0,45.879422587158444,0.41153068296863654,0.4585907736741512,0.003366133116957276
1,0.0,98.13673602028416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,53.09959149815838,9.449,68.13646561883127,0.0,0.0,0.0,44.335270401452895,0.36873761552504686,0.5635728906224314,0.0
2,0.0,89.32538328749823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,121.23605711698966,9.449,60.43354461402406,0.0,0.0,0.0,43.22683867347417,0.4869268480892978,0.5129716608354165,0.006417607173270446
3,0.0,67.45400068925333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,181.6696017310137,9.449,39.38963114192093,0.0,0.0,0.0,42.399369547332405,0.4318496455466405,0.3873701907574397,0.0
4,0.0,27.64235458237811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,221.05923287293461,9.449,0.0,0.0,0.0,0.0,41.97735458237811,0.3743695689531487,0.5404975633522209,0.0
5,0.0,27.982136590697202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,221.05923287293461,9.449,0.0,0.0,0.0,0.0,42.3171365906972,0.43298231280147376,0.5163780674331144,0.0
6,0.0,26.44533446580556,0.0,0.0,0.0,0.0,0.0,0.0,1.1647551023372182,5.112,0.41,8.813,221.05923287293461,9.449,0.0,0.0,0.0,0.0,41.94508956814278,0.38250907227347153,0.4529511869045279,0.004974604239574344
7,0.0,28.290224646979794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,221.05923287293461,9.449,0.0,0.0,0.0,0.0,42.625224646979795,0.32353425963447724,0.5121181165797486,0.006488644367748124
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,221.05923287293461,9.449,0.0,0.0,29.047738653761755,0.0,43.382738653761756,0.39737228879781294,0.3424641752998647,0.0
9,0.0,31.295153937357973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,192.01149421917285,9.449,0.0,0.0,0.0,0.0,45.630153937357974,0.3582385058744835,0.4785607683805378,0.025000711378920158
10,0.0,33.98742667386271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,192.01149421917285,9.449,0.0,0.0,0.0,0.0,48.32242667386271,0.40391015075517384,0.3876861785190193,0.10971786740420576
11,0.0,36.865580156094936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,192.01149421917285,9.449,0.0,0.0,0.0,0.0,51.20058015609494,0.5388149394745743,0.42565669371801595,0.0987763109710247
12,0.0,38.00170840071815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,192.01149421917285,9.449,0.0,0.0,0.0,0.0,52.33670840071815,0.4387642445581429,0.37797777794318643,0.14908905281537896
