DADischarge,DACharge,IDDischarge,IDCharge,SOC,DA_Prices,ID_Prices
0.0,0.0,0.0,100.0,0.0,0.0,-9.329525876842327
45.0,0.0,0.0,100.0,90.0,0.0,-9.029539585266699
67.5,0.0,0.0,72.22222222222221,135.0,0.0,-8.903593872041705
66.25,0.0,0.0,75.0,132.5,0.0,-8.391489417993029
66.875,0.0,0.0,73.61111111111111,133.75,0.0,-8.179426450084058
66.5625,0.0,0.0,74.30555555555556,133.125,0.0,-8.355978777785884
66.71875,0.0,0.0,73.95833333333333,133.4375,0.0,-8.060126487654703
66.640625,0.0,0.0,74.13194444444444,133.28125,0.0,-7.797108135516881
66.6796875,0.0,0.0,74.04513888888889,133.359375,0.0,-8.000052368248873
66.66015625,0.0,0.0,74.08854166666667,133.3203125,0.0,-8.494386702354637
66.669921875,0.0,0.0,74.06684027777777,133.33984375,0.0,-9.83197064844206
66.6650390625,0.0,0.0,74.07769097222221,133.330078125,0.0,-10.573079600919298
66.66748046875,0.0,0.0,74.072265625,133.3349609375,0.0,-10.215876460388296
66.666259765625,0.0,0.0,74.07497829861111,133.33251953125,0.0,-9.605799145316196
66.6668701171875,0.0,0.0,74.07362196180556,133.333740234375,0.0,-8.675747139594154
66.66656494140625,0.0,0.0,74.07430013020833,133.3331298828125,0.0,-7.961207110754212
66.66671752929688,0.0,0.0,74.07396104600694,133.33343505859375,0.0,-7.8265417859122755
66.66664123535156,0.0,0.0,74.07413058810764,133.33328247070312,0.0,-8.061018467895506
66.66667938232422,0.0,0.0,74.0740458170573,133.33335876464844,0.0,-7.976167753906255
66.66666030883789,0.0,0.0,74.07408820258246,133.33332061767578,0.0,-7.985848584020178
66.66666984558105,0.0,0.0,74.07406700981987,133.3333396911621,0.0,-7.917302981713761
66.66666507720947,0.0,0.0,74.07407760620117,133.33333015441895,0.0,-7.790154077658836
66.66666746139526,0.0,0.0,74.07407230801053,133.33333492279053,0.0,-7.533779490163828
66.66666626930237,0.0,0.0,74.07407495710585,133.33333253860474,0.0,-6.6732796419105345
66.66666686534882,0.0,0.0,74.07407363255818,133.33333373069763,0.0,-6.457331903540965
66.66666656732559,0.0,0.0,74.07407429483202,133.33333313465118,0.0,-6.467384171056237
66.6666667163372,0.0,0.0,74.0740739636951,133.3333334326744,0.0,-6.396381558281124
66.6666666418314,0.0,0.0,74.07407412926356,133.3333332836628,0.0,-6.8231319873578755
66.6666666790843,0.0,0.0,74.07407404647932,133.3333333581686,0.0,-7.688131984091568
66.66666666045785,0.0,0.0,74.07407408787144,133.3333333209157,0.0,-8.274820060661122
66.66666666977108,0.0,0.0,74.07407406717539,133.33333333954215,0.0,-8.716107176322414
66.66666666511446,0.0,0.0,74.07407407752342,133.33333333022892,0.0,-8.935227857199884
66.66666666744277,0.0,0.0,74.0740740723494,133.33333333488554,0.0,-9.065163105215076
66.66666666627862,0.0,23.333333333721384,74.0740740749364,133.33333333255723,0.0,-9.225649132093478
0.0,0.0,0.0,100.0,110.0,0.0,-9.516287037626466
100.0,0.0,0.0,0.0,200.0,77.98165137614679,64.41424321866958
50.0,0.0,0.0,0.0,100.0,77.98165137614679,64.85188269448648
25.0,0.0,0.0,0.0,50.0,77.98165137614679,65.4091394741
12.5,0.0,0.0,0.0,25.0,77.98165137614679,65.92913419354329
6.25,0.0,0.0,0.0,12.5,77.98165137614679,66.26346618741306
3.125,0.0,0.0,0.0,6.25,77.98165137614679,65.77014681520645
1.5625,0.0,1.5625,0.0,3.125,77.98165137614679,64.38146079964186
0.0,0.0,0.0,100.0,0.0,0.0,-9.992342112785394
45.0,0.0,0.0,100.0,90.0,0.0,-10.577036156118787
67.5,0.0,0.0,72.22222222222221,135.0,0.0,-10.780800361270344
66.25,0.0,0.0,75.0,132.5,0.0,-10.878096254090435
66.875,0.0,0.0,73.61111111111111,133.75,0.0,-10.596061739458838
66.5625,0.0,0.0,74.30555555555556,133.125,0.0,-10.31571560183289
