Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar,DA_Prices
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0741914413283,9.449,0.0,0.0,45.879422587158444,0.0,45.879422587158444,0.463922335992411,0.48542856456222555,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.19476885416987,9.449,0.0,0.0,34.8862704014529,9.449,44.335270401452895,0.5003005790021875,0.6788807302782937,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.30849845271698,0.0,0.0,0.0,43.22683867347417,0.0,43.22683867347417,0.39448706450065507,0.49461580311287656,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.08165977924281,0.0,0.0,0.0,42.399369547332405,0.0,42.399369547332405,0.36016068547493807,0.4294090777748077,0.0,0.0
4,0.0,41.97735458237811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68229023191041,0.0,0.0,0.0,0.0,0.0,41.97735458237811,0.44275026556530717,0.36793827069204355,0.0,0.0
5,0.0,42.3171365906972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68229023191041,0.0,0.0,0.0,0.0,0.0,42.3171365906972,0.47052128623407297,0.5031456971287285,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.68229023191041,0.0,0.0,0.0,41.94508956814278,0.0,41.94508956814278,0.4973319665891485,0.40193210293297554,0.02000113552923209,0.0
7,0.0,42.625224646979795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73720066376763,0.0,0.0,0.0,0.0,0.0,42.625224646979795,0.4128907770731607,0.3960122829684277,0.0,0.0
8,0.0,43.382738653761756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73720066376763,0.0,0.0,0.0,0.0,0.0,43.382738653761756,0.40469013545948757,0.31163092336953935,0.0,0.0
9,0.0,45.630153937357974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.73720066376763,0.0,0.0,0.0,0.0,0.0,45.630153937357974,0.4479525065995862,0.45808783174658657,0.05222157586336895,0.0
