Hour,ID_Prices
0,78.61069737076164
1,78.65422970326493
2,78.78332101567108
3,78.82870042403539
4,78.89226104400869
5,78.81138399257168
6,78.75260575990828
7,78.87259822390857
8,78.78033737723185
9,78.24133576505868
10,77.18958452211912
11,76.4161442868692
12,76.05048633868334
13,76.25561231532772
14,77.109202011167
15,78.16294227629122
16,78.41147061293383
17,78.40498072301554
18,78.36688111763362
19,78.24312921837128
20,78.25780022032527
21,78.30534763919556
22,78.08018629371462
23,78.32390754239981
24,67.89600082786079
25,67.91428132661498
26,67.82237976960677
27,67.97243701053792
28,68.07114731695631
29,68.0551448685691
30,67.98565135048767
31,109.46594818187745
32,109.5786316526655
33,109.26902141911461
34,108.73800778186569
35,108.19736553836732
36,108.00452128146792
37,108.40536717687853
38,109.11122560475177
39,109.58873742351714
40,109.72355083698424
41,109.47315721224477
42,109.04455147705498
43,108.78925811813914
44,108.62814180734675
45,108.44799399466591
46,66.59047169165214
47,65.85204491601043
48,65.42425672233603
49,65.31806791490907
50,64.73865669883222
51,64.31861704266153
52,63.992780165969535
53,63.05717524645889
54,62.57443050806048
55,73.03883645685775
56,72.79735919250778
57,72.21114032273718
58,71.35679124348033
59,71.09479440490362
60,71.16699522705322
61,71.97250343679359
62,72.3147386036714
63,73.10204796012336
64,73.19837522395937
65,73.38343668846984
66,73.55740830503231
67,73.83454297208985
68,73.88982821563278
69,63.42724609005809
70,63.58772060838348
71,63.639143658608134
72,63.689292795220936
73,63.727389795123756
74,63.75636709917666
75,63.78119019979489
76,63.81673400531919
77,63.87078082781244
78,63.79278532452021
79,78.15281789834512
80,77.25633055710433
81,77.06015588303232
82,76.4569801572935
83,76.30935717927704
84,72.07492649671998
85,72.34057887059191
86,72.29299429734576
87,72.4978433906858
88,72.60318905376273
89,72.52006519707554
90,72.53553054584485
91,72.58554305164908
92,72.57584002612421
93,72.59784423013126
94,72.65371106609128
95,62.00305957555852
96,61.99934294803266
97,62.20150016850199
98,62.588427340343245
99,62.58414993961264
100,62.6046429386778
101,62.608860869713325
102,62.57412864237889
103,77.45747192369325
104,77.19000298043763
105,76.8702021674434
106,76.17650855345092
107,75.9756710131953
108,71.66724159059478
109,71.76698273578216
110,71.98413400778945
111,72.2093586768626
112,72.37338507558597
113,72.35572618104068
114,72.40845298241418
115,72.5341614643425
116,72.4836985536741
117,72.62830307367506
118,72.94105859913813
119,62.48992024097211
120,62.71769706461739
121,62.91376666343164
122,63.098614774396616
123,63.206233714224645
124,63.312475280834434
125,63.65305274264783
126,63.425121689202214
127,63.611485888383726
128,78.39970952473057
129,78.7490319419301
130,78.94784806864641
131,79.00158027427467
132,78.81101271132903
133,74.90142953499122
134,75.40999377169791
135,75.9066268021487
136,75.97923641982369
137,75.91600883723964
138,76.17657311990715
139,76.60596762986238
140,76.90685055411345
141,77.00805643769154
142,77.12044942327641
143,77.2672275715808
144,77.60630924748753
145,77.78994053866515
146,77.79986753879999
147,77.71213720367246
148,77.6657075086599
149,77.63756937881985
150,77.69558192315758
151,77.76383844569801
152,77.67094994889196
153,77.59614422138435
154,77.4722329078755
155,77.20755664894267
156,77.14401100980622
157,77.27184416014792
158,77.6320798650208
159,77.98286021675594
160,78.10446874651794
161,78.0153124259415
162,77.76689588786722
163,77.76988968667355
164,77.85532749112893
165,77.917692831573
166,78.0143995816278
167,77.96825219621212
