Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,13.691670626847866,78.68879847970629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,4.0,9.449,45.79175789831106,0.0,4.0,0.0,64.92371120824309,0.6256977707437448,0.2825189425975202,0.0
1,0.0,132.02036850482324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,45.79175789831106,9.449,83.61677831408801,0.0,0.0,0.0,62.73859019073523,0.633221971982315,0.47399700633295067,0.0041919099253612075
2,0.0,143.96986406497183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,129.40853621239907,9.449,97.13480933835743,0.0,0.0,0.0,61.170054726614396,0.7291428259397802,0.5168996673908341,0.011610039690222682
3,0.0,90.7310247118545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,226.5433455507565,9.449,271.6102624126123,0.0,226.5433455507565,0.0,59.999107849998694,0.5943868509094662,0.5298917553007931,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,271.6102624126123,9.449,226.5433455507565,0.0,271.6102624126123,0.0,59.401916861855824,0.5716258782319037,0.3998885908693377,0.0
5,0.0,90.6146573203896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,226.5433455507565,9.449,271.6102624126123,0.0,226.5433455507565,0.0,59.88274045853378,0.6099793897411543,0.4098080630548834,0.0
6,0.0,126.95610582100812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,271.6102624126123,9.449,226.5433455507565,0.0,144.60849855259193,0.0,59.35625882284355,0.5251213966084786,0.4558146199436539,0.0
7,0.0,121.74156452772706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,353.5451094107769,9.449,144.60849855259193,0.0,68.85064814794947,0.0,60.31871412308462,0.363826861291563,0.5441900595326838,0.03558818663976775
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,429.30295981541934,9.449,68.85064814794947,0.0,115.90631605421612,0.0,61.39066790626664,0.39033043980143045,0.4021859570555507,0.0010520160677591223
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,382.2472919091527,9.449,115.90631605421612,0.0,166.14228860708118,0.0,64.57097255286506,0.4367847512047835,0.5436811928974001,0.04158120953829865
10,0.0,108.41297212171808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,332.01131935628763,9.449,166.14228860708118,0.0,111.77510894837636,0.0,68.38079246301326,0.45773897371464756,0.38923860624941836,0.07489466775190412
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,386.3784990149924,9.449,111.77510894837638,0.0,169.89376011266165,0.0,72.45365116428529,0.3865481611702546,0.5907698891097894,0.11691795430994711
12,0.0,122.176179490565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,328.25984785070716,9.449,169.89376011266165,0.0,107.44396043443365,0.0,74.06137981233701,0.4137447823810085,0.4386530955760007,0.10146859403720172
13,0.0,157.46391872859607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,390.7096475289352,9.449,107.44396043443365,0.0,8.781543188094076,0.0,73.13650148225649,0.34920251055994517,0.5653478090396541,0.08297588461958853
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,489.37206477527474,9.449,8.781543188094076,0.0,67.0218144385979,0.0,72.57527125050383,0.3738111216167118,0.4388121188236022,0.05929804375648836
15,0.0,125.33925989663575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,431.1317935247709,9.449,67.0218144385979,0.0,0.0,0.0,72.65244545803786,0.5466875463688173,0.4500096056376521,0.020535904498342528
16,0.0,42.15710232827179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,498.1536079633688,9.449,0.0,0.0,19.278019492763576,0.0,75.77012182103537,0.4607099721708777,0.5384654672848201,0.005374439700025402
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,478.87558847060524,9.449,19.278019492763576,0.0,85.94846176939235,0.0,81.00544227662878,0.5003921421614157,0.5305815517668542,0.0
18,0.0,123.42208709087103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,412.2051461939765,9.449,85.94846176939232,0.0,29.324497843007407,0.0,81.13312316448612,0.5747132339103238,0.4431263179991827,0.0058206943008206865
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,468.8291101203614,9.449,29.324497843007407,0.0,94.37508986830687,0.0,79.38559202529947,0.42497620633814803,0.42757633100409326,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,403.77851809506194,9.449,94.37508986830687,0.0,156.11810041259315,0.0,76.07801054428629,0.551779110064241,0.38678432096889526,0.0
21,0.0,78.73809714316792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,342.03550755077566,9.449,156.11810041259315,0.0,136.01543878677865,0.0,72.97043551735344,0.6902562088143309,0.28269594118615976,0.008424112166926285
22,0.0,136.14688050069756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,362.13816917659005,9.449,136.01543878677876,0.0,56.10432040791335,0.0,70.57076212183216,0.48155366866883165,0.48881255604541773,0.0025460630875051363
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,442.04928755545546,9.449,56.10432040791335,0.0,108.12661323045339,0.0,66.35729282254003,0.4562431996297753,0.39712013599378426,0.031682849567693586
24,0.0,71.07841439998043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,390.02699473291545,9.449,108.12661323045336,0.0,84.75964547405746,0.0,62.046446643584545,0.43230904305224055,0.2551951340694277,0.006182307608545446
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,413.3939624893114,9.449,84.75964547405744,0.0,130.35061965094798,0.0,59.92597417689054,0.49640766327978897,0.37536747819294825,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,367.80298831242084,9.449,130.35061965094798,0.0,175.88300607866347,0.0,59.867386427715495,0.2672377495559395,0.3371177486038139,0.0
27,0.0,85.42759000356705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,322.27060188470534,9.449,175.8830060786635,0.0,136.49933416112646,0.0,60.37891808603001,0.4831917551155099,0.3067134441338128,0.011928224050170862
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,361.6542738022424,9.449,136.4993341611264,0.0,185.86295533144718,0.0,63.698621170320784,0.43107341061323956,0.41156362247875333,0.0
29,0.0,117.78201239204354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,312.2906526319216,9.449,185.8629553314472,0.0,122.36068234567452,0.0,68.61473940627086,0.5591639883247594,0.42287657507681853,0.0038825243913100387
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,375.79292561769427,9.449,122.36068234567455,0.0,185.1611007492097,0.0,77.13541840353518,0.6243910054314854,0.47934781620033856,0.0
31,0.0,133.72330916278995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,312.9925072141591,9.449,185.1611007492097,0.0,122.05866437121688,0.0,84.9558727847971,0.6152887043506011,0.4801111293503348,0.0
32,0.0,112.93995121077565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,376.09494359215194,9.449,122.05866437121688,0.0,85.368454453911,0.0,90.58474129346978,0.8641970084724315,0.4054919659411599,0.0
33,0.0,126.1613200612796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,412.7851535094578,9.449,85.368454453911,0.0,38.501822429433105,0.0,93.62968803680171,0.6350167560876732,0.4529610748804645,0.013403083419160976
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,459.6517855339357,9.449,38.501822429433105,0.0,120.34689579584088,0.0,96.18007336640778,0.7376114929478592,0.5682988908491774,0.02684649030139547
35,0.0,111.36643139217918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,377.80671216752796,9.449,120.34689579584085,0.0,93.12056132396083,0.0,98.47509692029915,0.4872765724661629,0.3998425067564353,0.02495775876599701
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,405.03304663940787,9.449,93.12056132396094,0.0,177.81057497962033,0.0,99.0250136556594,0.4386948234320267,0.4130136642935851,0.03798235820785396
37,0.0,135.88673840749672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,320.3430329837485,9.449,177.8105749796203,0.0,125.54270455148614,0.0,97.95386797936256,0.47813073381506566,0.48787855945992964,0.038286368584023116
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,372.61090341188265,9.449,125.54270455148617,0.0,207.70374770999658,0.0,96.49604315851042,0.3921944572073616,0.4139088253428539,0.027546777316313352
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,290.44986025337226,9.449,207.70374770999658,0.0,290.44986025337226,0.0,97.0811125433757,0.36272204579527684,0.46900352591182753,0.0
40,0.0,86.53896220893525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,207.70374770999658,9.449,209.29854664788553,0.0,207.70374770999658,0.0,99.2791632710463,0.3674304727192763,0.5329422301661086,0.0
41,0.0,167.65189073737628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,209.29854664788553,9.449,288.8550613154833,0.0,209.29854664788553,0.0,102.4303760697785,0.7379733678771901,0.660426405570763,0.012479650608026575
42,0.0,8.046320255667808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,288.8550613154833,9.449,209.29854664788553,0.0,288.8550613154833,0.0,101.93783492326556,0.7247311836253294,0.5857874852263842,0.0
43,0.0,164.15763656588814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,209.29854664788553,9.449,288.8550613154833,0.0,209.29854664788553,0.0,98.93612189829037,0.8063683161384076,0.593688609514494,0.002221576301676206
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,288.8550613154833,9.449,209.29854664788553,0.0,288.8550613154833,0.0,93.89151466759778,0.6925207067200507,0.633776262036146,0.0
45,0.0,153.7540685261706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,209.29854664788553,9.449,288.8550613154833,0.0,209.29854664788553,0.0,88.53255385857288,0.6730988752071543,0.7005645495098136,0.007401325894362893
46,0.0,166.08127997484556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,288.8550613154833,9.449,209.29854664788553,0.0,112.93548406709883,0.0,84.05321739405883,0.8604132117458517,0.596287000313481,0.0204210032067877
47,0.0,111.96546986686789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,385.21812389626996,9.449,112.93548406709886,0.0,65.93858337668536,0.0,79.3035691764544,0.6855269365086898,0.6405167684854257,0.002166763536501617
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,432.21502458668346,9.449,65.93858337668536,0.0,126.17164620602586,0.0,74.5680628293405,0.4792470360609528,0.39559290550980025,0.0
49,0.0,160.6916821565772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,371.98196175734296,9.449,126.17164620602586,0.0,22.800205611183003,0.0,71.65524156173436,0.3492482905289118,0.576936552650517,0.0007110310063178184
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,475.35340235218587,9.449,22.800205611182946,0.0,78.43877674487223,0.0,69.97357113368929,0.31083813510012265,0.7167458238716397,0.00718991077546582
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,419.71483121849656,9.449,78.43877674487226,0.0,134.66160915654163,0.0,70.55783241166938,0.3256084624427238,0.636957466985831,0.0
52,0.0,193.18835429783928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,363.49199880682716,9.449,134.66160915654163,0.0,0.0,0.0,72.86174514129766,0.33673571000086355,0.6936104074896579,0.009170915207997957
53,0.0,36.45587869867357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,498.1536079633688,9.449,0.0,0.0,26.71869319269672,0.0,77.5095718913703,0.42655256157806903,0.5463392795109625,0.012257980839234253
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,471.4349147706721,9.449,26.71869319269672,0.0,99.2329604094542,0.0,86.84926721675748,0.7840741823920445,0.6553904082731674,0.0
55,0.0,179.0238260737521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,398.92064755391465,9.449,99.23296040945417,0.0,0.0,0.0,94.12586566429796,0.5063952653738798,0.6427550428942271,0.0
56,0.0,84.22979678455334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,498.1536079633688,9.449,0.0,0.0,0.0,0.0,98.56479678455335,0.6970516663866821,0.6523349297525617,0.0051139617314735365
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,498.1536079633688,9.449,0.0,0.0,86.32117740338113,0.0,100.65617740338114,0.7053061147095965,0.7965502066916339,0.023413064822169996
58,0.0,173.70458193453288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,411.8324305599877,9.449,86.32117740338111,0.0,0.24003711768568792,0.0,101.95844164883745,0.6246619851707231,0.6236571883245219,0.05420322908592444
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,497.9135708456831,9.449,0.24003711768568792,0.0,90.06678218894737,0.0,104.16174507126169,0.7750922598741726,0.9323616165222164,0.08115011009314498
60,0.0,179.30516796053075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,408.0868257744214,9.449,90.0667821889474,0.0,0.608966025250254,0.0,104.18235179683361,0.6063966395365451,0.6437651537854436,0.07197953019674508
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,497.54464193811856,9.449,0.608966025250254,0.0,88.23968063605426,0.0,101.96571461080401,0.5101577783305762,0.6765258540772645,0.07810914095634865
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,409.9139273273146,9.449,88.23968063605423,0.0,174.00932509030477,0.0,100.10464445425055,0.5074702204164987,0.6459874713501547,0.04335294233300899
63,0.0,166.12992397633542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,324.14428287306407,9.449,174.00932509030474,0.0,92.92578990599003,0.0,99.3813887920207,0.4584946163084528,0.5964616484480331,0.01611812055848464
