Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,0.0,74.59736063021398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,4.0,9.449,56.50193804305554,0.0,4.0,9.449,45.879422587158444,0.5765532607530583,0.4283925863856331,0.0
1,0.0,73.12295762062841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,56.50193804305554,0.0,33.67368721917552,9.449,0.0,0.0,44.335270401452895,0.7493046826086867,0.4199254862990478,0.0
2,0.0,87.01470522365724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,90.17562526223105,9.449,58.122866550183076,0.0,0.0,0.0,43.22683867347417,0.6336473787476185,0.4997020579471816,0.006812147260649776
3,0.0,99.48823743474678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,148.2984918124141,9.449,71.42386788741437,0.0,0.0,0.0,42.399369547332405,0.5564841296526911,0.5713341998906709,0.0
4,0.0,27.64235458237811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,41.97735458237811,0.5631469240550924,0.38010104091477803,0.0
5,0.0,27.982136590697202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,42.3171365906972,0.4948229629421882,0.622039512739242,0.006628967383383505
6,0.0,27.610089568142776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,41.94508956814278,0.4918538668815369,0.5401760934781134,0.011472527595366868
7,0.0,28.290224646979794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,42.625224646979795,0.5733301716579603,0.4211772332099226,0.005656520027953469
8,0.0,29.047738653761755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,43.382738653761756,0.43476214818838194,0.5626743485872066,0.017653581830934108
9,0.0,31.295153937357973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,45.630153937357974,0.3696522371446109,0.4503530454770059,0.032021734146532414
10,0.0,33.98742667386271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,48.32242667386271,0.3947549461164145,0.4898861451064371,0.08016694503263799
11,0.0,36.865580156094936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,51.20058015609494,0.2988466506913061,0.6076130973839875,0.10480006327638304
12,0.0,38.00170840071815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,52.33670840071815,0.3728443674907097,0.5897716631195847,0.09906421280281544
13,0.0,37.34812771412792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,51.68312771412792,0.4357774079601175,0.37828370156040664,0.0895925078459508
14,0.0,36.9515250170227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,51.286525017022704,0.43400322023398386,0.551454375185629,0.05675128908200486
15,0.0,37.006061457013416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,0.0,0.0,51.34106145701342,0.4035249534223813,0.4472979274271256,0.010821912840048003
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,219.72235969982847,9.449,0.0,0.0,39.20921942019832,0.0,53.544219420198324,0.5356019137335822,0.4253096891061256,0.0
17,0.0,42.90884587548434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,180.51314027963014,9.449,0.0,0.0,0.0,0.0,57.24384587548434,0.49832278390565576,0.3955850018654898,0.0
18,0.0,42.99907370290352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,180.51314027963014,9.449,0.0,0.0,0.0,0.0,57.334073702903524,0.5289363520303182,0.5148228274558122,0.011902021524510507
19,0.0,41.76415169787829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,180.51314027963014,9.449,0.0,0.0,0.0,0.0,56.09915169787829,0.5610293485605705,0.48717151435016215,0.015470908159657536
20,0.0,57.933369832345385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,8.813,180.51314027963014,9.449,18.506575714383075,0.0,0.0,0.0,53.76179411796231,0.5467280071696968,0.48929678607017557,0.018367181162709724
