Scenario_0,Scenario_1,Scenario_2,Scenario_3
24526.965665942538,24715.98465835792,21394.472790997897,23626.16975
258813.57380446605,282331.7360183466,321276.4328504958,299899.10885508475
56949.036170633575,52114.63054462463,50369.60013253976,55561.560632992216
3202.7411345486385,3406.0051547576204,2364.1422241145265,2255.897441697228
1531.7971614660444,1994.6638291982722,1163.5112080623817,1248.4574147232447
221996.80057061662,193748.73726605778,178671.58823191636,194319.43817910805
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
134456.20991393327,142998.50699186878,126293.10865655079,124562.59276399385
44781.12,44781.12,44770.896,44740.224
3591.600000000001,3591.600000000001,3590.7800000000007,3588.3200000000006
136.70657839235406,303.5665367874773,92.01890532150371,184.7819623997522
