Scenario_0,Scenario_1,Scenario_2,Scenario_3
61.244429512001304,56.97083552307343,58.004770450695126,59.31421409228353
43.211461049519976,35.28642688459647,34.3081280159413,40.06355169905092
85.09326740290537,85.97096645746555,85.00493842583259,82.70181303747896
85.14880028799065,85.98602879817231,85.4052346576907,83.66550313686943
96.32770148065798,96.83763349872186,95.57499901582973,95.15726938331123
118.27000000000001,118.27000000000001,118.27000000000002,118.26999999999998
0,0,0,0
0,0,0,0
34.56768285627054,30.18650819289401,30.720054598224035,38.0013107847312
72.56278906016374,69.38150522133303,68.11262018072577,69.00579717343892
77.25352164020917,75.84702640972648,74.06406748692177,74.14043644439008
0,0,0,0
59.72012845833787,53.99662516185427,52.039381209166685,56.5791718890965
