Scenario_0,Scenario_1,Scenario_2,Scenario_3
47932.500589744144,50824.891900993694,45613.50521388141,48224.79326397311
144336.5996625747,154864.70623831413,176108.7469238664,167620.21280706514
50908.65153290584,41166.40554386146,38622.2036030074,42930.30744070181
57776.30665517335,60054.50340992633,56189.340270176,63323.356847406234
27908.622171452327,23098.505191148364,21083.33962757888,18807.047096552695
7128.926997914091,2574.9558929184304,2155.532897225914,1489.6145392389549
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
79759.33421485579,83077.38782283758,75888.68746426403,73275.47300506206
44714.664000000004,44781.12,44781.12,44781.12
3586.2700000000013,3591.600000000001,3591.600000000001,3591.600000000001
0.0,0.0,0.0,0.0
