Plant,CapNew[GW],CapExi[GW],CapOut[GW]
Offshore,0.0,8.456,0
Onshore,11.68702690553735,59.841,0
Biomass,0.0,8.577,0
Lignite,0.0,18.363,0
Hard Coal,0.0,18.411,0
Gas,0.0,36.255,0
Hydrogren,0.0,0.0,0
Nuclear,0.0,0.0,0
Solar PV,8.32030197847599,76.601,0
Hydro,0.0,5.112,0
Other RES,0.0,0.41,0
Other Conventional,0.0,8.813,0
