Scenario_0,Scenario_1,Scenario_2,Scenario_3
93.36270475646354,91.321929785892,90.75614199392396,92.27251869390818
65.25318145157573,57.147145176058416,53.57192104960838,62.813684248837724
104.11221326605182,105.43190695150732,103.80294742053005,104.0090024559249
132.96445772993113,155.5507073175954,139.56698967438993,150.4493508212005
150.6591064308945,178.22227315172736,161.54981776948748,173.71593813789892
106.81514920347374,110.20350541836304,107.33654784140933,107.47581968702015
0,0,0,0
0,0,0,0
55.45005373032249,48.44158731090168,50.68270231285954,58.668311412240826
96.9781287533975,95.46999543988345,93.5717781897084,95.42700518456687
100.09395495180003,99.57000743620686,98.03043431485862,98.77081547135636
297.3771144278607,297.3771144278607,297.37711442786065,297.3771144278607
81.2476544211933,75.86154398431556,72.21802533091332,79.67395950424603
