Scenario_0,Scenario_1,Scenario_2,Scenario_3
89.75224287157579,86.88944215969805,86.1398243641838,88.83547536794555
64.9945771430303,55.89083379338626,52.97058239595068,62.75179522920527
104.36862742094675,105.43954951077272,103.78205916168615,104.08448254479126
127.56597430190136,144.15028657937384,130.95370716062024,141.0243646451191
142.5906173106029,167.28227070069568,150.65409291887124,164.8829888715544
108.02061637948715,110.98309423481236,108.81838206193481,108.68611557979973
0,0,0,0
0,0,0,0
54.55853721263623,48.67745700848551,49.845896074009914,57.58365083815945
95.10960379179159,92.49431824742946,90.66813093263912,93.1450035694567
99.36057280502668,97.96366383025432,96.20737247654844,97.55717485669504
297.37711442786076,297.3771144278607,297.3771144278607,297.37711442786076
81.76850997850708,76.15155221312172,72.72075369919692,80.27178629181148
