Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar,DA_Prices
0,0.0,12.286497991401788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.188213216841305,9.449,0.0,0.0,43.188213216841305,9.449,64.92371120824309,0.3763378029277894,0.5026436881403021,2.774870770304126e-05,0.0
1,0.0,62.73859019073523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.73859019073523,0.44113667117726657,0.5137610696301441,3.171280880347572e-05,0.0
2,0.0,61.170054726614396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.170054726614396,0.4726596137286259,0.5124978294842855,2.774870770304126e-05,0.0
3,0.0,59.999107849998694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.999107849998694,0.4260364128429081,0.4774005903802743,3.171280880347572e-05,0.0
4,0.0,59.401916861855824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.401916861855824,0.42591339648173204,0.46777218267060255,3.567690990391019e-05,0.0
5,0.0,59.88274045853378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88274045853378,0.4108746463279616,0.47507813856572323,3.9641011004344654e-05,0.0
6,0.0,59.35625882284355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.35625882284355,0.40207897650387503,0.4744660531342247,3.171280880347572e-05,0.0
7,0.0,60.31871412308462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.31871412308462,0.42806618280231273,0.48129883660357703,3.567690990391019e-05,0.0
8,0.0,61.39066790626664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.39066790626664,0.3835035059662935,0.46779822885917693,0.008035232930580661,0.0
9,0.0,64.57097255286506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.57097255286506,0.4265899864682003,0.44564594547664527,0.052655154917071005,0.0
10,0.0,68.38079246301326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.38079246301326,0.41779431664411365,0.42427938878277477,0.10073970126534107,0.0
11,0.0,66.07145368379194,0.0,0.0,0.0,0.0,0.0,0.0,6.382197480493346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.45365116428529,0.44279739205314306,0.40665914221218963,0.13383994545396885,0.0
12,0.0,47.758429309709,0.0,0.0,0.0,0.0,0.0,0.0,26.302950502628004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06137981233701,0.4463341124369541,0.3789459975690224,0.1404005327751879,0.0
13,22.949359081654652,50.18714240060184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.13650148225649,0.49990773772911795,0.35706719916652196,0.12323201090920623,0.0
14,14.16271203021769,58.41255922028614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.57527125050383,0.8072333620371509,0.35951988192394513,0.0788895759997463,0.0
15,0.0,62.890533338418415,0.0,0.0,0.0,0.0,0.0,0.0,5.30693106024563,4.454981059373814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.65244545803786,0.82433263624062,0.387081090467095,0.028327466463704692,0.0
16,16.590192016322092,59.17992980471328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.77012182103537,0.8191351949809325,0.36424292411877063,0.00166888656328291,0.0
17,37.01828330488988,43.98715897173891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.00544227662878,0.8063722475089187,0.3461495051224171,5.153331430564805e-05,0.0
18,25.72022120115644,55.41290196332968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.13312316448612,0.760241112067905,0.34105747525612085,3.171280880347572e-05,0.0
19,24.98127456172238,54.404317463577094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.38559202529947,0.7388670193135687,0.33484980031255424,3.171280880347572e-05,0.0
20,20.64959189634503,55.42841864794126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.07801054428629,0.6879997539672776,0.34115297794756033,3.567690990391019e-05,0.0
