Plant,CapNew[GW],CapExi[GW],CapOut[GW]
Offshore,14.354309442031479,8.456,0
Onshore,81.75146704429302,59.841,0
Biomass,0.0,8.577,0
Lignite,0.0,18.363,-9
Hard Coal,0.0,18.411,-10
Gas,28.09176370685643,36.255,0
Hydrogren,0.0,0.0,0
Nuclear,0.0,0.0,0
Solar PV,92.22486170196153,76.601,0
Hydro,0.0,5.112,0
Other RES,0.0,0.41,0
Other Conventional,0.0,8.813,0
