Hour,Offshore,Onshore,Biomass,Lignite,Hard Coal,Gas,Hydrogren,Nuclear,Solar PV,Hydro,Other RES,Other Conventional,Battery_SOC,PumpedHydro_SOC,Battery_Charge,PumpedHydro_Charge,Battery_Discharge,PumpedHydro_Discharge,Demand,OffWind,OnWind,Solar
0,0.0,75.14144820867362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,4.0,9.449,19.73973700043053,0.0,4.0,0.0,64.92371120824309,0.7673686914087582,0.4624834958129103,3.463563313937379e-05
1,0.0,47.767590190735234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,19.73973700043053,9.449,0.0,0.0,0.0,9.449,62.73859019073523,0.741652754590985,0.43983884678688345,3.463563313937379e-05
2,0.0,65.0970547266144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,19.73973700043053,0.0,0.0,9.449,0.0,0.0,61.170054726614396,0.7124695004494671,0.4190616578342889,3.463563313937379e-05
3,0.0,54.477107849998696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,19.73973700043053,9.449,0.0,0.0,0.0,0.0,59.999107849998694,0.6912482342365481,0.39958219537340156,3.463563313937379e-05
4,0.0,53.879916861855826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,19.73973700043053,9.449,0.0,0.0,0.0,0.0,59.401916861855824,0.7174136381148067,0.37271428313045996,3.463563313937379e-05
5,0.0,34.62100345810325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,19.73973700043053,9.449,0.0,0.0,19.73973700043053,0.0,59.88274045853378,0.5818993193784513,0.3540532474814158,3.463563313937379e-05
6,0.0,56.64058206306469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,2.8063232402211398,0.0,0.0,0.0,59.35625882284355,0.5797804032361629,0.3486136482844689,3.463563313937379e-05
7,5.026206131461279,53.02900846294503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,2.8063232402211398,9.449,3.258500471321689,0.0,0.0,0.0,60.31871412308462,0.6228329266726595,0.3263849952070032,3.463563313937379e-05
8,6.817826864934311,49.05084104133233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,6.064823711542829,9.449,0.0,0.0,0.0,0.0,61.39066790626664,0.535764736098626,0.3019000162781023,0.0038791909116098642
9,12.869170899097341,46.17980165376772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,6.064823711542829,9.449,0.0,0.0,0.0,0.0,64.57097255286506,0.541158340824451,0.2842292318544376,0.031241341091715155
10,8.301348226031358,41.20690871251263,0.0,0.0,0.0,0.0,0.0,0.0,13.35053552446928,5.112,0.41,0.0,6.064823711542829,9.449,0.0,0.0,0.0,0.0,68.38079246301326,0.5202260177218441,0.25362187776953826,0.07126281518426157
11,11.222862891839426,35.09088954632137,0.0,0.0,0.0,0.0,0.0,0.0,20.617898726124487,5.112,0.41,0.0,6.064823711542829,9.449,0.0,0.0,0.0,0.0,72.45365116428529,0.5477077179915243,0.215978766119843,0.11005472430036022
12,29.447336571970943,30.540424355283697,0.0,0.0,0.0,0.0,0.0,0.0,8.551618885082362,5.112,0.41,0.0,6.064823711542829,9.449,0.0,0.0,0.0,0.0,74.06137981233701,0.64145370489277,0.18797138671345115,0.12889650872817954
13,32.58661719751139,26.43663059404113,0.0,0.0,0.0,0.0,0.0,0.0,21.36166792879389,5.112,0.41,0.0,6.064823711542829,9.449,12.77041423808992,0.0,0.0,0.0,73.13650148225649,0.7098369076666239,0.16271319792363761,0.11402483374896093
14,34.71926464594191,24.66537267095559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,18.83523794963275,9.449,0.0,0.0,7.668633933606323,0.0,72.57527125050383,0.7562925388467959,0.15181139105427843,0.07606850928234968
15,35.59767368482554,25.88637253332314,0.0,0.0,0.0,0.0,0.0,0.0,5.414023367304523,5.112,0.41,0.0,11.166604016026426,9.449,0.0,0.0,0.23237587258465453,0.0,72.65244545803786,0.7754269937074612,0.1593264482989383,0.028899106400665005
16,36.000032187535645,24.799089633499726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,10.934228143441771,9.449,0.0,0.0,0.0,9.449,75.77012182103537,0.7841916013869269,0.19308090216860496,0.0023075990579107786
17,35.843805076593256,38.15440905659375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,10.934228143441771,0.0,0.0,9.449,10.934228143441771,0.0,81.00544227662878,0.7807884936432515,0.23483423465788855,3.896508728179551e-05
18,21.82484115862323,44.33728200586289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,0.0,0.0,0.0,9.449,81.13312316448612,0.7767432900988828,0.2728888205610519,3.463563313937379e-05
19,33.21780344821245,50.094788577087016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,0.0,0.0,9.449,0.0,0.0,79.38559202529947,0.7815590086040838,0.3083253450053356,3.463563313937379e-05
20,8.072859482642954,53.03415106164333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,0.0,0.0,0.0,9.449,76.07801054428629,0.8003724155644022,0.3264166470726546,3.463563313937379e-05
21,22.356503037108517,54.54093248024491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,0.0,0.0,9.449,0.0,0.0,72.97043551735344,0.8312893283677925,0.3356906437085134,3.463563313937379e-05
22,10.24261848014639,54.806143641685765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,0.0,0.0,0.0,0.0,70.57076212183216,0.8659625016052395,0.33732297563710684,3.463563313937379e-05
23,29.55655235252815,55.5628403072926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,24.28409983728072,0.0,0.0,0.0,66.35729282254003,0.8902979324515218,0.341980321582955,3.463563313937379e-05
24,0.0,55.73107675042267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,24.28409983728072,9.449,0.0,0.0,0.0,0.7933698931618736,62.046446643584545,0.8916784384230128,0.34301578975926494,3.463563313937379e-05
25,0.0,55.23151001973078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,24.28409983728072,8.655630106838126,0.03416594967836062,0.7933698931618736,0.0,0.0,59.92597417689054,0.8777449595479646,0.33994103709598655,3.463563313937379e-05
26,0.0,52.94893085464294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,24.31826578695908,9.449,0.0,0.0,0.4716055786538007,0.9248499944187571,59.867386427715495,0.8711634775908565,0.32589213044186005,3.463563313937379e-05
27,0.0,55.78176808044877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,23.84666020830528,8.524150005581243,0.0,0.9248499944187571,0.0,0.0,60.37891808603001,0.8057339155001926,0.34332778672068587,3.463563313937379e-05
28,0.0,53.195040935204396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,23.84666020830528,9.449,0.0,0.0,4.98158023511639,0.0,63.698621170320784,0.7752985745473224,0.327406898298034,3.463563313937379e-05
29,9.678770697910302,53.41396870836056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,18.86507997318889,9.449,0.0,0.0,0.0,0.0,68.61473940627086,0.8108385771157056,0.3287543634357648,3.463563313937379e-05
30,15.68839221649094,55.92502618704424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,18.86507997318889,9.449,0.0,0.0,0.0,0.0,77.13541840353518,0.7705791704122255,0.34420951726383187,3.463563313937379e-05
31,0.0,60.5687928116082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,18.86507997318889,9.449,0.0,0.0,18.86507997318889,0.0,84.9558727847971,0.6905098240657506,0.37279115194704193,4.329454142421724e-05
32,18.489597173119094,66.57314412035068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,0.0,0.0,0.0,0.0,90.58474129346978,0.721811994349557,0.4097469659425926,0.005836104183984483
33,18.74431679414539,69.36337124265631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,0.0,0.0,0.0,0.0,93.62968803680171,0.6547450879671247,0.4269203639060211,0.03393426156830147
34,32.014767017835474,73.14832388460434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.112,0.41,0.0,0.0,9.449,14.505017536032035,0.0,0.0,0.0,96.18007336640778,0.6973802491331706,0.4502161370254481,0.06856556525353283
