Scenario_0,Scenario_1,Scenario_2,Scenario_3
103.49531443670989,98.56935180018586,98.09174952501111,99.67568966154421
68.67300666824794,57.72559962800729,53.63314499544971,63.17730377281102
125.24072885410546,125.95878010093705,123.81575756683992,122.9799265799652
193.52572317515381,209.20447583258252,198.5837826796059,209.1221730160778
186.7818132367366,199.89292351704486,189.78850305234076,198.1353480183672
134.06604624373531,136.76330392564256,135.924290881128,132.90075843833642
0,0,0,0
0,0,0,0
56.46596325917334,49.161078182150796,50.40617374457724,59.93532503677025
111.84236171532685,108.1553303865685,105.77365435043771,107.29537243620568
117.1173099468635,114.90458271939823,112.14729302804678,113.126268141439
321.06567164179097,321.065671641791,321.06567164179097,321.06567164179097
92.15445266631649,84.07951229738335,79.59743476087003,87.58084873453939
