Scenario_0,Scenario_1,Scenario_2,Scenario_3
46753.36005204329,42813.253001840094,38341.87928718799,45928.50349482726
180062.6903316018,196150.3314196937,222544.05921562918,208287.21141794106
48393.58050023929,42940.34537034784,40415.96660870731,45374.97658536427
1875.9976902239252,2000.3352297803167,1482.1234924030548,1487.569994531987
2289.2344453458018,2338.6603951726993,1870.7078837912197,1667.4105178901175
101783.8537597708,88246.78883737905,81665.81343879805,85266.60851377972
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
100417.6491162008,107080.15078977348,95254.44071070498,93507.83477919092
44781.12,44776.008,44776.008,44776.008
3591.600000000001,3591.1900000000005,3591.1900000000005,3591.1900000000005
54.10553471354463,56.67938615208293,51.55379291743854,111.42011102886549
