Scenario_0,Scenario_1,Scenario_2,Scenario_3
73.00563825384778,67.65459367287487,67.6693673105402,70.28749868091123
49.98260880534851,40.782233066183075,38.581040445481904,44.96526500980395
103.68370372112572,103.26845656273802,103.0815613090497,103.25470617592867
130.43434055296404,134.02554391370856,132.04672167334363,150.86574917205613
152.869426741703,150.68257645382693,158.4566410558885,185.95587072689057
107.74401965272334,108.41831499125809,108.3327133215484,109.23830712186195
0,0,0,0
0,0,0,0
41.548753305929,35.74726462919443,37.584622203528454,43.502223389172855
90.56951575723714,87.56286585903685,85.20100976662006,87.60636179810172
96.74548267421702,95.14140464448731,92.7723036276559,94.46059395729502
297.37711442786076,297.37711442786065,297.3771144278607,297.37711442786076
70.38147787479764,63.009209766541105,60.19565391420686,66.60298176373469
