Scenario_0,Scenario_1,Scenario_2,Scenario_3
23726.86079511668,23188.17348458153,20186.284718701594,22570.637811307253
191101.75278209787,206806.92610075924,231901.72970584163,218189.81782212172
53329.03987964693,47915.148890524215,45551.582362650945,50794.56949734826
2911.308726829299,3027.198166686816,2338.602547805779,2040.3250759785267
3311.0875934880755,3372.3687246264362,2751.5779506329104,2382.616086033242
119958.17693992567,103657.6603608513,94744.9919638301,102722.61867187206
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
87336.50280733702,93618.95544269074,84279.99363159767,82942.10844709822
44645.72236295725,44623.15003748085,44612.01744984119,44623.90833805805
3555.731696085559,3545.9237377755744,3543.643543840167,3553.006359247085
110.36741651496172,231.04605402262058,76.12712525731396,166.94289093490778
