Scenario_0,Scenario_1,Scenario_2,Scenario_3
85.65647326662922,80.00695330316417,79.46434056785378,81.90470993927865
57.815062828939716,47.27475014524142,44.1781919559924,51.737068121208154
123.4631342910649,123.44545282351852,122.9349768756817,121.59486692690012
196.55412516908714,209.4518772193663,200.33881989850693,217.73569774036847
187.29292217432382,198.18725947649406,189.0863891134179,206.46352250760012
132.32585289267487,134.43806355553716,134.1374427799327,132.10895141617246
0,0,0,0
0,0,0,0
47.67979603581245,40.62132104185763,42.77532689954294,49.71715868451856
106.62351966824268,103.04977350770409,99.9548299106149,102.0981291451317
113.77094053876039,111.65579179985882,108.37244382656712,109.82471998059863
321.0656716417909,321.065671641791,321.065671641791,321.06567164179097
83.27610078242196,74.65046376292145,70.88992957827249,77.89030947641169
