Scenario_0,Scenario_1,Scenario_2,Scenario_3
50650.19859409672,46635.31030871012,41783.296770286695,49967.238521462445
176637.2418592127,192839.41742882674,218820.04539890657,204760.9201726342
48227.9080796241,42825.57981457721,40399.52183280355,45249.330465439234
3386.286397699435,3146.8531971564694,2779.006749081113,2416.2245760254746
1337.6990110570937,1586.105485343422,1054.0893226869255,1126.5138526933515
101224.38484357508,88029.11258791143,81633.70175492871,85050.7371063315
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
100111.93146715123,106517.16214132986,95105.30670041521,92944.52195875956
44781.12,44776.008,44776.008,44776.008
3591.600000000001,3591.1900000000005,3591.1900000000005,3591.1900000000005
51.62974758294389,49.26103614410256,53.833470890520815,107.86634665356527
