NetZero_0.7,NetZero_0.8,NetZero_0.9,NetZero_0.95,NetZero_0.99,ReferenceCase_0.7,ReferenceCase_0.8,ReferenceCase_0.9,ReferenceCase_0.95,ReferenceCase_0.99
93.91501232557414,73.86943149552911,72.567518420825,73.38749885370524,73.97927228854492,93.88575670813118,78.73044198150075,69.83056387585248,71.58782189270893,72.63100669008784
79.35737145682825,58.42635430354153,57.93866162554871,59.26869858375649,60.40863417120479,81.50774536472935,62.78710528686453,56.008971356838586,56.73124948449773,58.2531583761014
106.19689598576895,106.75682356205644,120.39403053649058,121.4688962074005,121.35944965892907,109.5703275443404,107.06899996940683,104.91134272312244,104.98536938228378,104.92746196805379
174.76373347128157,180.1573580790298,196.50418866240955,198.1351832975851,197.52086689510037,166.71925951131,164.28763868253566,153.35569955473778,153.27251375488058,152.9734119298771
220.22711305921294,248.02262713861154,246.0330228782153,247.84889031647845,247.06141263097078,216.59177732036594,221.61920884487967,192.38314092566287,193.4288102162205,192.322536733679
110.8808861109166,113.25549246958812,134.7498914329204,136.2100118130693,136.0212799427625,117.00416151854203,114.30410026037052,111.33310166392958,111.33257721523974,111.25154668564176
0.0,0.0,308.5949526808872,305.0,305.0,0.0,0.0,305.0,305.0,305.00000000000006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.24505075506853,46.239781712887336,45.38927439603926,45.975245248247916,47.275271677620964,64.08165898875492,50.29554358774881,45.414165771410296,46.16667510586667,47.724492728801906
102.98903565182167,101.99205850879784,113.97684786660741,114.89489465012421,114.75834591587008,105.08999606086681,100.98332717175965,98.1193046178465,98.18621058619965,98.55175181936718
104.28184767984214,103.04798508285084,115.36868364186617,116.40918044310962,116.20232450686589,106.65818310471514,103.26449373970127,99.88046079681078,99.73446777089896,100.01703589409661
314.22139303482584,314.22139303482584,314.2213930348259,0.0,0.0,314.22139303482584,314.22139303482584,0.0,0.0,0.0
89.944531910169,75.7240808438279,80.99085523213257,82.38164934700835,83.49149762488464,93.84765047069281,80.18818195895487,73.70768446975369,74.56671180528386,75.76906205808487
